number,abbr,ady,ýygnaklaryň_jemi,gatnaşyjylaryň_jemi,talyplar,mugallymlar,ene-atalar,pudak_edaralar,ýaş(0-17),ýaş(18-29),ýaş(30-59),60+,zenan,erkek,tema_sany,teklip_sany,tema-1,tema-2,tema-3,tema-4,tema-5,tema-6,tema-7,tema-8,tema-9,tema-10,tema-11,tema-12,tema-13,tema-14,tema-15,tema-16,tema-17,tema-1-teklip-sany,tema-2-teklip-sany,tema-3-teklip-sany,tema-4-teklip-sany,tema-5-teklip-sany,tema-6-teklip-sany,tema-7-teklip-sany,tema-8-teklip-sany,tema-9-teklip-sany,tema-10-teklip-sany,tema-11-teklip-sany,tema-12-teklip-sany,tema-13-teklip-sany,tema-14-teklip-sany,tema-15-teklip-sany,tema-16-teklip-sany,tema-17-teklip-sany
22,,Balkanabat şäher häkimliginiň Hazar şäherçesindäki 1-nji hünär-tehniki okuw mekdebi,1,35,30,3,0,2,6,5,20,4,26,9,7,7,1,1,1,1,,1,,,,,1,,,,1,,,1,1,1,1,,1,,,,,1,,,,1,,
23,,Daşoguz welaýat häkimliginiň garamagyndaky 1-nji hünär-tehniki okuw mekdebi,1,124,74,15,10,25,13,74,27,10,39,85,2,2,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,1,,,,1,,
24,,Daşoguz welaýat häkimliginiň garamagyndaky 2-nji hünär-tehniki okuw mekdebi,2,142,60,17,46,19,11,73,41,17,53,89,3,2,1,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,1,,,,,,
25,,Boldumsaz etrap  häkimliginiň garamagyndaky 3-nji hünär-tehniki okuw mekdebi,1,68,49,6,8,5,,35,30,3,31,37,2,2,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,1,,,,1,,
26,,Şabat etrap häkimliginiň garamagyndaky 4-nji hünär-tehniki okuw mekdebi,1,41,23,6,8,4,0,26,12,3,12,29,8,4,1,1,1,1,,1,,,,,1,,,,1,,1,,1,1,1,,1,,,,,,,,,,,
27,,“Türkmenpagta”döwlet konserniniň “Daşoguzpagta” önümçilik birleşiginiň Akdepe etrabyndaky  hünär-tehniki okuw mekdebi,1,24,13,6,4,1,0,12,9,3,5,19,8,8,1,1,1,1,,1,,,,,,,,,1,1,1,1,1,1,1,,1,,,,,,,,,1,1,1
28,,Görogly etrap  häkimliginiň garamagyndaky 5-nji hünär-tehniki okuw mekdebi,1,29,22,5,,2,,12,15,2,2,27,8,1,1,1,1,1,,1,,,,,1,,,,1,,1,,,,,,1,,,,,,,,,,,
29,,Köneürgenç etrap  häkimliginiň garamagyndaky 6-njy hünär-tehniki okuw mekdebi,1,27,14,6,2,5,3,11,8,5,20,7,2,2,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,1,,,,1,,
30,,”Türkmenobahyzmat” döwlet birleşiginiň “Daşoguzobahyzmat” önümçilik birleşiginiň Daşoguz şäherindäki hünär-tehniki okuw mekdebi,1,25,18,5,0,2,0,5,18,2,6,19,8,8,1,1,1,1,,1,,,,,1,,,,1,,1,1,1,1,1,,1,,,,,1,,,,1,,1
31,,Akdepe etrap häkimliginiň 7-nji hünär-tehniki okuw mekdebi,1,32,20,5,2,5,,18,14,,4,28,8,8,1,1,1,1,,1,,,,,1,,,,1,,1,1,1,1,1,,1,,,,,1,,,,1,,1
